time,velocity_kmh,accel_ms2,braking_power_kw,split_ratio,soc_battery,soc_supercap,p_battery_kw,p_supercap_kw,bat_v_terminal,bat_cycles,energy_recovered_wh
573.7,1.3422394166766827,-1.2517452013743247,0.4959453902655499,0.8,0.6626977642442855,0.8659203413328446,0.39675631221243995,0.09918907805310996,39.88625134789453,0.03134888212214359,581.3203102312253
573.8000000000001,0.8927103552494923,-1.2457255214234175,0.3281035496343758,0.8,0.6627014171407046,0.8659221070413253,0.26248283970750064,0.06562070992687515,39.92397464744666,0.03135070857035313,581.3294249379614
573.9,0.44531704125182203,-1.2398754934020724,0.16282319413167542,0.8,0.6627032282264506,0.8659229832533126,0.13025855530534033,0.03256463882633508,39.96122496250442,0.03135161411322611,581.3339481720099
574.0,0.0,-1.236991781255061,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,39.998022292083625,0.03135161411322611,581.3339481720099
574.1,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.00215629270436,0.03135161411322611,581.3339481720099
574.2,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.00624895331889,0.03135161411322611,581.3339481720099
574.3000000000001,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.01030068732727,0.03135161411322611,581.3339481720099
574.4,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.01431190399557,0.03135161411322611,581.3339481720099
574.5,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.018283008497185,0.03135161411322611,581.3339481720099
574.6,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.02221440195378,0.03135161411322611,581.3339481720099
574.7,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.026106481475814,0.03135161411322611,581.3339481720099
574.8000000000001,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.02995964020263,0.03135161411322611,581.3339481720099
574.9,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.03377426734217,0.03135161411322611,581.3339481720099
575.0,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.03755074821032,0.03135161411322611,581.3339481720099
575.1,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.04128946426979,0.03135161411322611,581.3339481720099
575.2,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.04499079316866,0.03135161411322611,581.3339481720099
575.3000000000001,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.04865510877854,0.03135161411322611,581.3339481720099
575.4,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.05228278123233,0.03135161411322611,581.3339481720099
575.5,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.055874176961574,0.03135161411322611,581.3339481720099
575.6,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.05942965873353,0.03135161411322611,581.3339481720099
575.7,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.06294958568776,0.03135161411322611,581.3339481720099
575.8000000000001,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.066434313372454,0.03135161411322611,581.3339481720099
575.9,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.069884193780304,0.03135161411322611,581.3339481720099
576.0,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.07329957538407,0.03135161411322611,581.3339481720099
576.1,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.0766808031718,0.03135161411322611,581.3339481720099
576.2,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.08002821868165,0.03135161411322611,581.3339481720099
576.3000000000001,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.0833421600364,0.03135161411322611,581.3339481720099
576.4,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.08662296197761,0.03135161411322611,581.3339481720099
576.5,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.08987095589941,0.03135161411322611,581.3339481720099
576.6,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.09308646988198,0.03135161411322611,581.3339481720099
576.7,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.09626982872473,0.03135161411322611,581.3339481720099
576.8000000000001,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.099421353979054,0.03135161411322611,581.3339481720099
576.9,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.10254136398083,0.03135161411322611,581.3339481720099
577.0,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.105630173882595,0.03135161411322611,581.3339481720099
577.1,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.10868809568534,0.03135161411322611,581.3339481720099
577.2,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.11171543827006,0.03135161411322611,581.3339481720099
577.3000000000001,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.114712507428926,0.03135161411322611,581.3339481720099
577.4,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.11767960589621,0.03135161411322611,581.3339481720099
577.5,0.0,0.0,0.0,0.5,0.6627032282264506,0.8659229832533126,0.0,0.0,40.120617033378814,0.03135161411322611,581.3339481720099
