time,velocity_kmh,accel_ms2,braking_power_kw,split_ratio,soc_battery,soc_supercap,p_battery_kw,p_supercap_kw,bat_v_terminal,bat_cycles,energy_recovered_wh
808.6,0.0,0.0,0.0,0.5,0.7548663675812372,0.9500898037765637,0.0,0.0,40.98441762950124,0.0774331837906189,842.6697372809753
808.7,0.0,0.0,0.0,0.5,0.7548663675812372,0.9500898037765637,0.0,0.0,40.990291919678086,0.0774331837906189,842.6697372809753
808.8000000000001,0.0,0.0,0.0,0.5,0.7548663675812372,0.9500898037765637,0.0,0.0,40.996107466953156,0.0774331837906189,842.6697372809753
808.9000000000001,0.0,0.0,0.0,0.5,0.7548663675812372,0.9500898037765637,0.0,0.0,41.00186485875548,0.0774331837906189,842.6697372809753
809.0,0.0,0.0,0.0,0.5,0.7548663675812372,0.9500898037765637,0.0,0.0,41.00756467663978,0.0774331837906189,842.6697372809753
809.1,0.0,0.0,0.0,0.5,0.7548663675812372,0.9500898037765637,0.0,0.0,41.013207496345245,0.0774331837906189,842.6697372809753
809.2,0.0,0.0,0.0,0.5,0.7548663675812372,0.9500898037765637,0.0,0.0,41.01879388785365,0.0774331837906189,842.6697372809753
809.3000000000001,0.0,0.0,0.0,0.5,0.7548663675812372,0.9500898037765637,0.0,0.0,41.02432441544697,0.0774331837906189,842.6697372809753
809.4000000000001,0.0,0.0,0.0,0.5,0.7548663675812372,0.9500898037765637,0.0,0.0,41.029799637764356,0.0774331837906189,842.6697372809753
809.5,0.0,0.0,0.0,0.5,0.7548663675812372,0.9500898037765637,0.0,0.0,41.035220107858564,0.0774331837906189,842.6697372809753
809.6,0.0,0.0,0.0,0.5,0.7548663675812372,0.9500898037765637,0.0,0.0,41.040586373251834,0.0774331837906189,842.6697372809753
809.7,0.0,0.0,0.0,0.5,0.7548663675812372,0.9500898037765637,0.0,0.0,41.04589897599117,0.0774331837906189,842.6697372809753
809.8000000000001,0.0,0.0,0.0,0.5,0.7548663675812372,0.9500898037765637,0.0,0.0,41.05115845270312,0.0774331837906189,842.6697372809753
